text_left,corpus,collection,hit_text,last_index,text_right,docpid,end_time,begin_time,hit_pos,hit_phonetic,first_index,hit_lemma
verder dan de strekking van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,234,wetsvoorstel . dat betekent dat,fn000177,00:01:38.166,00:01:38.116,"LID(bep,stan,evon)",t,234,het
de nota naar aanleiding van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,269,verslag hieraan wijdden en we,fn000177,00:01:50.181,00:01:50.140,"LID(bep,stan,evon)",t,269,het
een einde te maken .,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,294,wetsvoorstel is meer dan een,fn000177,00:02:00.054,00:01:59.942,"LID(bep,stan,evon)",@t,294,het
wel of niet onder de,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,328,OZB-regime valt hadden gemeenten het,fn000177,00:02:12.856,00:02:12.735,"LID(bep,stan,evon)",@t,328,het
het OZB-regime valt hadden gemeenten,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,333,volste recht substraatteelt aan te,fn000177,00:02:15.725,00:02:15.572,"LID(bep,stan,evon)",@t,333,het
wij dit wetsvoorstel steunen is,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,351,punt van rechtsongelijkheid tussen substraatteelt,fn000177,00:02:23.003,00:02:22.882,"LID(bep,stan,evon)",@t,351,het
toch wel een versmalling van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,372,belastinggebied van gemeenten . die,fn000177,00:02:30.437,00:02:30.377,"LID(bep,stan,evon)",@t,372,het
verwachtingen opgeroepen bij substraattelers uit,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,404,oogpunt van betrouwbaarheid van de,fn000177,00:02:43.622,00:02:43.520,"LID(bep,stan,evon)",@d,404,het
van de overheid vind ik,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,413,daarom van belang dat de,fn000177,00:02:45.868,00:02:45.756,"VNW(pers,pron,stan,red,3,ev,onz)",@d,413,het
ook hun steun geven aan,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,432,wetsvoorstel . wil nog wel,fn000177,00:02:50.399,00:02:50.358,"LID(bep,stan,evon)",t,432,het
in de tuinbouw . naast,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,471,argument van de rechtsongelijkheid zijn,fn000177,00:03:03.858,00:03:03.767,"LID(bep,stan,evon)",@d,471,het
om in te stemmen met,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,499,wetsvoorstel . voorzitter ik wil,fn000177,00:03:14.990,00:03:14.809,"LID(bep,stan,evon)",@t,499,het
. uiteraard hebben ministers altijd,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,535,recht de Kamer over van,fn000177,00:03:25.736,00:03:25.595,"LID(bep,stan,evon)",@t,535,het
dit onderwerp . maar is,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,566,moment waarop tijdens de schriftelijke,fn000177,00:03:35.609,00:03:35.487,"LID(bep,stan,evon)",@t,566,het
ze overweegt te zijner tijd,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,693,contosein te onthouden misschien is,fn000177,00:04:17.832,00:04:17.691,"LID(bep,stan,evon)",@t,693,het
contosein te onthouden misschien is,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,699,dan nuttig dergelijke bezwaren niet,fn000177,00:04:20.282,00:04:20.151,"VNW(pers,pron,stan,red,3,ev,onz)",@d,699,het
. die de tekst van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,756,voorstel niet raken . daarbij,fn000177,00:04:38.159,00:04:38.088,"LID(bep,stan,evon)",@t,756,het
een nieuwe gewoonte introduceren in,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,819,samenspel van regering en Kamer,fn000177,00:04:57.115,00:04:56.987,"LID(bep,stan,evon)",@t,819,het
de overzijde te verdedigen .,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,861,woord is aan de heer,fn000177,00:05:13.039,00:05:12.917,"LID(bep,stan,evon)",@t,861,het
niet aan de orde .,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,932,gaat nu om de vraag,fn000177,00:05:42.382,00:05:42.274,"VNW(pers,pron,stan,red,3,ev,onz)",@t,932,het
substraattelers die is ontstaan na,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,950,bekende arrest van de Hoge,fn000177,00:05:48.621,00:05:48.570,"LID(bep,stan,evon)",d,950,het
de motie van Droeven-Remkes voor,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,980,wegnemen van die rechtsongelijkheid .,fn000177,00:05:56.568,00:05:56.497,"LID(bep,stan,evon)",@t,980,het
van die rechtsongelijkheid . omdat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,987,kabinet weigerde deze motie uit,fn000177,00:05:59.368,00:05:59.221,"LID(bep,stan,evon)",@t,987,het
voeren spreken wij thans over,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,999,voorliggende initiatiefontwerp . CDA-fractie wil,fn000177,00:06:02.722,00:06:02.621,"LID(bep,stan,evon)",@t,999,het
de inbreng ten behoeve van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1041,verslag heeft de CDA-fractie op,fn000177,00:06:16.697,00:06:16.626,"LID(bep,stan,evon)",t,1041,het
interpretatie de Hoge Raad van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1064,begrip cultuurgrond . en mijn,fn000177,00:06:23.245,00:06:23.215,"LID(bep,stan,evon)",@,1064,het
plaats hebben we gewezen op,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1104,verschil tussen de principi&euml;le discussie,fn000177,00:06:37.251,00:06:37.190,"LID(bep,stan,evon)",@t,1104,het
. ik heb al gezegd,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1141,laatste is momenteel aan de,fn000177,00:06:48.008,00:06:47.901,"LID(bep,stan,evon)",@t,1141,het
ongelijk zal worden behandeld terwijl,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1175,in de sfeer van de,fn000177,00:06:59.105,00:06:59.004,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1175,het
fiscale structuurversterking en dergelijke niet,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1188,geval is . en ook,fn000177,00:07:03.424,00:07:03.311,"LID(bep,stan,evon)",@t,1188,het
dan is er vierde punt,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1212,aanvechtbare standpunt van het kabinet,fn000177,00:07:10.992,00:07:10.891,"LID(bep,stan,evon)",@t,1212,het
punt het aanvechtbare standpunt van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1216,kabinet met betrekking tot de,fn000177,00:07:12.129,00:07:12.037,"LID(bep,stan,evon)",@t,1216,het
betrekking tot de beperking van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1224,gemeentelijk belastinggebied de toevallige omstandigheid,fn000177,00:07:14.105,00:07:14.034,"LID(bep,stan,evon)",@t,1224,het
een andere interpretatie gaf dan,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1239,Hof het feit dat de,fn000177,00:07:19.629,00:07:19.538,"LID(bep,stan,evon)",@t,1239,het
interpretatie gaf dan het Hof,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1241,feit dat de Tweede Kamer,fn000177,00:07:20.731,00:07:20.590,"LID(bep,stan,evon)",@t,1241,het
motie Van Der Hoeven-Remkes en,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1263,gegeven dat het kabinet buitensporig,fn000177,00:07:27.510,00:07:27.388,"LID(bep,stan,evon)",@t,1263,het
Hoeven-Remkes en het gegeven dat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1266,kabinet buitensporig veel tijd nodig,fn000177,00:07:28.230,00:07:28.118,"LID(bep,stan,evon)",@t,1266,het
te reageren mogen niet zoals,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1283,kabinet nu wil doen geloven,fn000177,00:07:33.562,00:07:33.440,"LID(bep,stan,evon)",@t,1283,het
nu wil doen geloven tot,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1290,beeld leiden als zou er,fn000177,00:07:35.375,00:07:35.231,"LID(bep,stan,evon)",@d,1290,het
zijn van een beperking van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1303,gemeentelijk belastinggebied . wij voelen,fn000177,00:07:38.740,00:07:38.659,"LID(bep,stan,evon)",@t,1303,het
uh CDA-fractie toevallig ? nou,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1331,is natuurlijk zo met een,fn000177,00:07:51.241,00:07:51.110,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1331,het
ook aan de orde bij,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1378,Hof dat was ook aan,fn000177,00:08:03.132,00:08:03.051,"LID(bep,stan,evon)",@t,1378,het
op een gev ent kan,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1405,zo zijn dat een Hoge,fn000177,00:08:11.166,00:08:11.060,"VNW(pers,pron,stan,red,3,ev,onz)",@d,1405,het
gebeurd . en dan is,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1424,de taak van de wetgever,fn000177,00:08:15.591,00:08:15.408,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1424,het
dat bij de interpretatie van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1450,begrip cultuurgrond grondteelt en substraatteelt,fn000177,00:08:21.777,00:08:21.747,"LID(bep,stan,evon)",t,1450,het
heb ik uh gebruikt omdat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1516,ook denkbaar was geweest maar,fn000177,00:08:42.737,00:08:42.545,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1516,het
ik dan ook als jurist,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1529,was ook denkbaar geweest dat,fn000177,00:08:45.650,00:08:45.549,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1529,het
andere interpretatie had gegeven van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1544,begrip cultuurgrond . uhm uh,fn000177,00:08:51.017,00:08:50.987,"LID(bep,stan,evon)",d,1544,het
de Hoge Raad had ook,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1555,Hof kunnen volgen . en,fn000177,00:08:53.655,00:08:53.564,"LID(bep,stan,evon)",@t,1555,het
met de term toevallig .,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1579,vijfde punt voorzitter dat wij,fn000177,00:09:01.930,00:09:01.822,"LID(bep,stan,evon)",@t,1579,het
bevestiging van de indieners dat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1597,bij dit wetsvoorstel erom gaat,fn000177,00:09:06.740,00:09:06.572,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1597,het
die reden zal de CDA-fractie,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1636,initiatiefvoorstel steunen . maar toch,fn000177,00:09:18.815,00:09:18.754,"LID(bep,stan,evon)",t,1636,het
name vanwege de reacties vanuit,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1650,kabinet nog enkele opmerkingen naar,fn000177,00:09:22.771,00:09:22.690,"LID(bep,stan,evon)",@t,1650,het
enkele opmerkingen naar aanleiding van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1658,voorliggende wetsvoorstel worden gemaakt .,fn000177,00:09:25.104,00:09:24.971,"LID(bep,stan,evon)",@t,1658,het
gronden over te gaan tot,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1702,wegnemen van de rechtsongelijkheid tussen,fn000177,00:09:40.593,00:09:40.461,"LID(bep,stan,evon)",@t,1702,het
substraatteelt . en nu staat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1715,de minister natuurlijk vrij om,fn000177,00:09:45.627,00:09:45.425,"VNW(pers,pron,stan,red,3,ev,onz)",@d,1715,het
substraatteelt niet relevant is met,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1741,oog op de verkleining van,fn000177,00:09:53.871,00:09:53.749,"LID(bep,stan,evon)",@t,1741,het
oog op de verkleining van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1747,gemeentelijk belastinggebied . maar door,fn000177,00:09:55.436,00:09:55.354,"LID(bep,stan,evon)",@t,1747,het
gemeentelijk belastinggebied . maar door,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1753,zo te stellen wordt geheel,fn000177,00:09:57.682,00:09:57.567,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1753,het
tegen die achtergrond . namelijk,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1781,wegwerken van de rechtsongelijkheid zijn,fn000177,00:10:05.377,00:10:05.215,"LID(bep,stan,evon)",@t,1781,het
de minister met betrekking tot,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1795,herverdeeleffect en de te derven,fn000177,00:10:09.551,00:10:09.480,"LID(bep,stan,evon)",@t,1795,het
niet echt relevant meer .,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1807,is opvallend . dat het,fn000177,00:10:14.803,00:10:14.700,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1807,het
het is opvallend . dat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1812,kabinet althans de minister van,fn000177,00:10:16.336,00:10:16.210,"LID(bep,stan,evon)",@t,1812,het
juni negenennegentig steevast voorbijgaat aan,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1839,aspect van de rechtsgelijkheid .,fn000177,00:10:25.279,00:10:25.177,"LID(bep,stan,evon)",@t,1839,het
o uhm hoe hoe kan,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1859,nou dat de burgers in,fn000177,00:10:31.467,00:10:31.329,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1859,het
die als u u als,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1876,wetsvoorstel zou worden aangenomen met,fn000177,00:10:38.052,00:10:37.931,"LID(bep,stan,evon)",@d,1876,het
belasting moeten betalen hoe kan,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1895,nou dat u dat wegwuift,fn000177,00:10:44.944,00:10:44.795,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1895,het
die minister had gebruikt over,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1921,niet relevant zijn ik heb,fn000177,00:10:51.838,00:10:51.757,"LID(bep,stan,evon)",=@t,1921,het
en dat toegelicht . waar,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,1933,om gaat is dat wij,fn000177,00:10:54.114,00:10:54.043,"VNW(pers,pron,stan,red,3,ev,onz)",@t,1933,het
goed . dat u zegt,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2001,is niet relevant als je,fn000177,00:11:13.190,00:11:13.139,"VNW(pers,pron,stan,red,3,ev,onz)",t,2001,het
te noemen . uh waar,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2077,nu om gaat is een,fn000177,00:11:30.386,00:11:30.339,"VNW(pers,pron,stan,red,3,ev,onz)",@t,2077,het
slechte winst ? doen ze,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2133,niet goed ? ze doen,fn000177,00:11:47.416,00:11:47.334,"VNW(pers,pron,stan,red,3,ev,onz)",=@t,2133,het
niet goed ? ze doen,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2139,fantastisch . ze maken in,fn000177,00:11:48.492,00:11:48.371,"VNW(pers,pron,stan,red,3,ev,onz)",@t,2139,het
tong die zegt dat als,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2311,gaat om twee vormen van,fn000177,00:12:35.423,00:12:35.301,"VNW(pers,pron,stan,red,3,ev,onz)",@t,2311,het
beperken . want als we,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2345,op een gegeven ment hebben,fn000177,00:12:44.282,00:12:44.239,"VNW(pers,pron,stan,red,3,ev,onz)",=@,2345,het
dat is niet verstandig .,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2389,ontkennen negeren of niet willen,fn000177,00:12:55.881,00:12:55.669,"LID(bep,stan,evon)",hEt,2389,het
u heeft een probleem .,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2409,probleem is dat we 't,fn000177,00:13:03.286,00:13:03.093,"LID(bep,stan,evon)",@t,2409,het
een bepaalde sector we hebben,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2426,niet over de rechtvaardigheid in,fn000177,00:13:08.911,00:13:08.803,"VNW(pers,pron,stan,red,3,ev,onz)",@t,2426,het
niet over de rechtvaardigheid in,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2432,algemeen . dat is dan,fn000177,00:13:10.515,00:13:10.413,"LID(bep,stan,evon)",@d,2432,het
aan de orde . en,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2444,lijkt me ook eerlijk gezegd,fn000177,00:13:13.120,00:13:12.999,"VNW(pers,pron,stan,red,3,ev,onz)",@t,2444,het
aangeroerd maar dan niet binnen,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2492,kader van dit wetsvoorstel .,fn000177,00:13:22.883,00:13:22.781,"LID(bep,stan,evon)",=@t,2492,het
. ik heb gezegd dat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2561,opvalt dat het kabinet in,fn000177,00:13:44.108,00:13:44.011,"VNW(pers,pron,stan,red,3,ev,onz)",@t,2561,het
gezegd dat het opvalt dat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2564,kabinet in verschillende brieven volstrekt,fn000177,00:13:45.020,00:13:44.848,"LID(bep,stan,evon)",@t,2564,het
verschillende brieven volstrekt voorbijgaat aan,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2572,punt van de rechtsongelijkheid .,fn000177,00:13:48.049,00:13:47.892,"LID(bep,stan,evon)",@t,2572,het
van de rechtsongelijkheid . en,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2579,lijkt of het gemeentelijk belastinggebied,fn000177,00:13:52.269,00:13:52.167,"VNW(pers,pron,stan,red,3,ev,onz)",@t,2579,het
. en het lijkt of,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2582,gemeentelijk belastinggebied zo ongeveer de,fn000177,00:13:52.776,00:13:52.675,"LID(bep,stan,evon)",@t,2582,het
de hoogste norm is en,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2592,CDA-fra CDA-fractie geeft de voorkeur,fn000177,00:13:55.966,00:13:55.747,"LID(bep,stan,evon)",@t,2592,het
die rechtsgelijkheid . maar als,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2607,k uh kabinet nu koste,fn000177,00:14:00.448,00:14:00.312,"LID(bep,stan,evon)",@t,2607,het
nu koste wat 't kost,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2616,gemeentelijk belastinggebied wenst uit te,fn000177,00:14:02.648,00:14:02.536,"LID(bep,stan,evon)",@t,2616,het
uit te breiden dan zou,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2625,in de rede liggen de,fn000177,00:14:05.758,00:14:05.637,"VNW(pers,pron,stan,red,3,ev,onz)",@t,2625,het
. mijn wens is alleen,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2651,na het arrest van de,fn000177,00:14:13.183,00:14:12.984,"LID(bep,stan,evon)",hEt,2651,het
wens is alleen het na,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2653,arrest van de Hoge Raad,fn000177,00:14:13.499,00:14:13.397,"LID(bep,stan,evon)",@t,2653,het
op dat de versmalling van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2687,gemeentelijk belastinggebied het gevolg is,fn000177,00:14:24.820,00:14:24.719,"LID(bep,stan,evon)",@t,2687,het
versmalling van het gemeentelijk belastinggebied,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2690,gevolg is van een vertraagde,fn000177,00:14:25.967,00:14:25.849,"LID(bep,stan,evon)",@t,2690,het
Hoeven-Remkes . en evenmin moet,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2707,beeld worden opgeroepen als zou,fn000177,00:14:30.901,00:14:30.810,"LID(bep,stan,evon)",@d,2707,het
beeld worden opgeroepen als zou,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2713,gaan om een verworven recht,fn000177,00:14:32.793,00:14:32.691,"VNW(pers,pron,stan,red,3,ev,onz)",@t,2713,het
en om die reden is,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2734,ook niet zinvol grote aandacht,fn000177,00:14:37.953,00:14:37.882,"VNW(pers,pron,stan,red,3,ev,onz)",@t,2734,het
precies bij zijn gemoeid .,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2762,gaat om het rechttrekken wat,fn000177,00:14:44.655,00:14:44.534,"VNW(pers,pron,stan,red,3,ev,onz)",@t,2762,het
gemoeid . het gaat om,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2765,rechttrekken wat sinds het arrest,fn000177,00:14:45.028,00:14:44.937,"LID(bep,stan,evon)",@t,2765,het
om het rechttrekken wat sinds,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2769,arrest van de Hoge Raad,fn000177,00:14:46.138,00:14:46.017,"LID(bep,stan,evon)",@t,2769,het
krom geraakt . wat betreft,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2785,cult het milieuaspect daarover heeft,fn000177,00:14:50.574,00:14:50.353,"LID(bep,stan,evon)",@t,2785,het
. wat betreft het cult,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2787,milieuaspect daarover heeft de heer,fn000177,00:14:51.033,00:14:50.804,"LID(bep,stan,evon)",@t,2787,het
bij aan . dan in,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2808,verlengde van die financi&euml;le aspecten,fn000177,00:14:56.055,00:14:55.950,"LID(bep,stan,evon)",@t,2808,het
maar ook hier geldt dat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2866,onderhavige wetsvoorstel een eigen geschiedenis,fn000177,00:15:13.346,00:15:13.247,"LID(bep,stan,evon)",@t,2866,het
dat ook de verwijzing naar,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2903,genoemde wetsartikel geen belemmering inhoudt,fn000177,00:15:25.013,00:15:24.912,"LID(bep,stan,evon)",@t,2903,het
wetsartikel geen belemmering inhoudt voor,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2910,doel van dit wetsvoorstel .,fn000177,00:15:27.347,00:15:27.208,"LID(bep,stan,evon)",@d,2910,het
of er strijdigheid bestaat tussen,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,2944,wetsvoorstel en de Europese regelgeving,fn000177,00:15:36.650,00:15:36.531,"LID(bep,stan,evon)",@t,2944,het
bezwaar aan te tekenen tegen,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,3022,wetsvoorstel . maar nu wijzen,fn000177,00:16:01.902,00:16:01.780,"LID(bep,stan,evon)",@d,3022,het
nu wijzen en dat is,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,3031,interessante punt toch nu wijzen,fn000177,00:16:04.152,00:16:04.107,"LID(bep,stan,evon)",@t,3031,het
is van een misverstand .,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,3135,gaat hier helemaal niet om,fn000177,00:16:42.682,00:16:42.574,"VNW(pers,pron,stan,red,3,ev,onz)",@t,3135,het
niet om strijdigheid . waar,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,3144,om gaat is of er,fn000177,00:16:45.039,00:16:45.008,"VNW(pers,pron,stan,red,3,ev,onz)",d,3144,het
u nu formuleert o uh,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,3222,feit dat er sprake is,fn000177,00:17:13.624,00:17:13.493,"LID(bep,stan,evon)",@t,3222,het
gewoon een verplichting . op,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,3238,moment dat je financi&euml;le steun,fn000177,00:17:16.861,00:17:16.757,"LID(bep,stan,evon)",@t,3238,het
ja . en nu is,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,3257,interessante dat u geeft aan,fn000177,00:17:23.823,00:17:23.742,"LID(bep,stan,evon)",@t,3257,het
van Binnenlandse Zaken die laat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,3280,in het midden . indien,fn000177,00:17:31.496,00:17:31.385,"VNW(pers,pron,stan,red,3,ev,onz)",@t,3280,het
Zaken die laat het in,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,3282,midden . indien enzovoort terwijl,fn000177,00:17:31.759,00:17:31.648,"LID(bep,stan,evon)",@t,3282,het
en dan komen we bij,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,3294,punt en dat was mijn,fn000177,00:17:35.874,00:17:35.773,"LID(bep,stan,evon)",@t,3294,het
regelgeving . maar 't ggg,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,3345,punt is nu hebben nu,fn000177,00:17:50.851,00:17:50.819,"LID(bep,stan,evon)",@t,3345,het
gemeld . nou ik vind,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,3395,eerlijk gezegd erg onduidelijk .,fn000177,00:18:01.515,00:18:01.433,"VNW(pers,pron,stan,red,3,ev,onz)",@t,3395,het
gezegd erg onduidelijk . en,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,3402,lijkt me ook goed dat,fn000177,00:18:02.590,00:18:02.539,"VNW(pers,pron,stan,red,3,ev,onz)",t,3402,het
uh hadden naar aanleiding van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,3452,betoog van mevrouw Noorman heeft,fn000177,00:18:15.908,00:18:15.877,"LID(bep,stan,evon)",@,3452,het
? en als dat niet,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,3478,geval is roept dat weer,fn000177,00:18:23.779,00:18:23.667,"LID(bep,stan,evon)",@t,3478,het
bezwaren die met name vanuit,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,3552,kabinet worden ingebracht hebben iets,fn000177,00:18:46.990,00:18:46.879,"LID(bep,stan,evon)",@t,3552,het
maar over de gerechtsgelijkheid blijft,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,3573,stil . en juist daarover,fn000177,00:18:53.940,00:18:53.849,"VNW(pers,pron,stan,red,3,ev,onz)",@t,3573,het
en juist daarover moeten we,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,3581,nu hebben . ,fn000177,00:18:56.180,00:18:56.056,"VNW(pers,pron,stan,red,3,ev,onz)",hEt,3581,het
